wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (22.15793281044593499 51.60914203955893953);54209;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.14255305380640237 51.59704313556927247);54206;PL.ZIPOP.1393.PP.0616062.1415;drzewo;;81345;Wiąz górski - Ulmus glabra (Ulmus montana, Ulmus scabra);1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1415
Point (22.16983920782211115 51.6032106084359441);54207;PL.ZIPOP.1393.PP.0616062.1417;drzewo;;81346;Topola osika (Osika) - Populus tremula;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1417
Point (22.19108487107702032 51.6131015391791621);54204;PL.ZIPOP.1393.PP.0616062.1413;drzewo;;81343;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1413
Point (22.14259064189836934 51.59548351484281881);54205;PL.ZIPOP.1393.PP.0616062.1414;drzewo;;81344;Żywotnik zachodni - Thuja occidentalis;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1414
Point (22.15797230403600793 51.60666255716604667);54250;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15814530447227071 51.60688364319526755);54251;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15797018578666666 51.60674233102344743);54248;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15796852759902436 51.60669972807215089);54249;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15799644524598122 51.60684788306228654);54246;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15797905377277033 51.60680552380004826);54247;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15798307961368252 51.60695504189163074);54244;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15799173952391143 51.60690496320850684);54245;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15813013664727649 51.6076701530306039);54258;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.1581257280075512 51.60770446179855497);54259;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15815367864204788 51.60721227208150452);54256;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15814956480541653 51.60726330804818218);54257;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15815903651962415 51.60710424917581207);54254;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
Point (22.15815151425820417 51.6071644642812899);54255;PL.ZIPOP.1393.PP.0616062.1420;drzewo;;81347;Lipa drobnolistna - Tilia cordata;1987-11-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0616062.1420
