wkt_geom,fid,protected,denotation,ref:gid,ref:INSPIRE,natural,name,species:pl,species,url:crfop
Point (12.33586370376703911 47.67421135680480404),4030,yes,natural_monument,69298,PL.ZIPOP.1393.PP.1206132.615,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.615
Point (12.33586370114412745 47.67421135722942438),4031,yes,natural_monument,69301,PL.ZIPOP.1393.PP.1206132.618,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.618
Point (12.33586373731473884 47.67421134840035535),4024,yes,natural_monument,69292,PL.ZIPOP.1393.PP.1206132.608,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.608
Point (12.33586371957096972 47.67421135351075634),4025,yes,natural_monument,69295,PL.ZIPOP.1393.PP.1206132.611,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.611
Point (12.33586374320283774 47.67421134581466191),4026,yes,natural_monument,69294,PL.ZIPOP.1393.PP.1206132.610,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.610
Point (12.33586371324472353 47.67421135425723833),4027,yes,natural_monument,69297,PL.ZIPOP.1393.PP.1206132.614,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.614
Point (12.33586370854975023 47.6742113540178778),4032,yes,natural_monument,69300,PL.ZIPOP.1393.PP.1206132.617,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.617
Point (12.33586369146555306 47.67421136232747614),4033,yes,natural_monument,69303,PL.ZIPOP.1393.PP.1206132.620,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.620
Point (12.33586369175106867 47.6742113580153628),4034,yes,natural_monument,69302,PL.ZIPOP.1393.PP.1206132.619,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1206132.619
Point (12.33586006235772814 47.67420986967348284),2817,yes,natural_monument,68204,PL.ZIPOP.1393.PP.1203053.341,rock,im. prof. S. Siedleckiego,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1203053.341
Point (12.33587501332001501 47.67420498485246583),4178,yes,natural_monument,70120,PL.ZIPOP.1393.PP.1210163.1412,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210163.1412
Point (12.33587777468852487 47.67420489481290957),4165,yes,natural_monument,70078,PL.ZIPOP.1393.PP.1210133.1390,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1390
Point (12.33587791629332386 47.67420450853244773),4166,yes,natural_monument,70077,PL.ZIPOP.1393.PP.1210133.1389,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210133.1389
Point (12.33587550206296513 47.67420439392408582),4218,yes,natural_monument,70164,PL.ZIPOP.1393.PP.1211023.1593,rock,,brak danych,,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1211023.1593
