wkt_geom;fid;protected;denotation;ref:gid;ref:INSPIRE;natural;name;species:pl;species;url:crfop
Point (12.33587620200954582 47.67420784649824128);4305;yes;natural_monument;69959;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619971438087 47.67420784554575164);4306;yes;natural_monument;69958;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619520152856 47.67420784920318511);4307;yes;natural_monument;69961;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587620301043764 47.67420785300146235);4316;yes;natural_monument;69968;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619846576189 47.67420785553721174);4317;yes;natural_monument;69971;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619742080932 47.67420785521528614);4318;yes;natural_monument;69970;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587618132462538 47.67420786685801204);4319;yes;natural_monument;69973;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619825867954 47.67420785026556018);4312;yes;natural_monument;69964;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619997476814 47.67420785158808627);4313;yes;natural_monument;69967;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
Point (12.33587619942636948 47.67420784923454846);4314;yes;natural_monument;69966;PL.ZIPOP.1393.PP.1210102.1527;tree;;brak danych;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1210102.1527
