wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.98108305899410198 49.27383273647500772);182688;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98108500985837921 49.27363989099348629);182691;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.981091394724384 49.27368446726700313);182690;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98108436141974309 49.27353092971362969);182693;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98108122333135483 49.27358071576072973);182692;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98109431183845786 49.2733462045485453);182695;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98108464085976976 49.27346875058572806);182694;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98107958888281743 49.27274948666570253);182701;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98110132081231782 49.2729369121805405);182698;PL.ZIPOP.1393.PP.1217011.2642;drzewo;;86303;Modrzew - Larix sp.;1970-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2642
Point (19.98163892951612297 49.27653616731434028);182833;PL.ZIPOP.1393.PP.1217011.2630;drzewo;;86298;Modrzew europejski - Larix decidua;1983-09-23;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2630
Point (19.98154481655948089 49.27655469310111158);182832;PL.ZIPOP.1393.PP.1217011.2630;drzewo;;86298;Jesion wyniosły - Fraxinus excelsior;1983-09-23;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2630
Point (19.9394117569863667 49.29412064555455686);183188;PL.ZIPOP.1393.PP.1217011.2634;drzewo;;86301;Sosna limba - Pinus cembra;2015-08-21;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2634
Point (19.98138022717678908 49.27652846714531876);182834;PL.ZIPOP.1393.PP.1217011.2630;drzewo;;86298;Modrzew europejski - Larix decidua;1983-09-23;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2630
Point (19.99175000000007785 49.30580559699401277);183853;PL.ZIPOP.1393.PP.1217011.2884;drzewo;;115503;brak danych;1983-09-24;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2884
Point (19.93952454395709495 49.29411181402248587);183544;PL.ZIPOP.1393.PP.1217011.2852;drzewo;;114015;brak danych;2015-09-29;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1217011.2852
