ref:gid,ref:inspire,natural,name,species:pl,species,url:crfop,leaf_type,protected,denotation
92147.0,PL.ZIPOP.1393.PP.1661011.203,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.203,broadleaved,yes,natural_monument
92148.0,PL.ZIPOP.1393.PP.1661011.295,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1661011.295,broadleaved,yes,natural_monument
92143.0,PL.ZIPOP.1393.PP.1611073.311,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611073.311,broadleaved,yes,natural_monument
92145.0,PL.ZIPOP.1393.PP.1611073.314,tree,,Grab zwyczajny, Carpinus betulus,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611073.314,broadleaved,yes,natural_monument
92141.0,PL.ZIPOP.1393.PP.1611073.309,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611073.309,broadleaved,yes,natural_monument
92142.0,PL.ZIPOP.1393.PP.1611073.310,tree,,Dąb czerwony , Quercus rubra,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611073.310,broadleaved,yes,natural_monument
92139.0,PL.ZIPOP.1393.PP.1611073.307,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611073.307,broadleaved,yes,natural_monument
92140.0,PL.ZIPOP.1393.PP.1611073.308,tree,,Dąb szypułkowy , Quercus robur,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611073.308,broadleaved,yes,natural_monument
92136.0,PL.ZIPOP.1393.PP.1611053.267,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611053.267,broadleaved,yes,natural_monument
92137.0,PL.ZIPOP.1393.PP.1611053.267,tree,,Lipa drobnolistna , Tilia cordata,http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.1611053.267,broadleaved,yes,natural_monument
