wkt_geom;gid;kodinspire;obiekt;nazwa;fop_id;gatunek;data_utwor;powierzchn;link
Point (19.18247178014154741 53.31817936997659046);37462;PL.ZIPOP.1393.PP.0402022.6101;drzewo;;78335;Dąb szypułkowy - Quercus robur;2012-09-07;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.6101
Point (19.18293480452377864 53.31798803776598561);37463;PL.ZIPOP.1393.PP.0402022.6102;drzewo;;78336;Dąb szypułkowy - Quercus robur;2012-09-07;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.6102
Point (19.18268203578661257 53.31776498233025308);37464;PL.ZIPOP.1393.PP.0402022.6103;drzewo;;78337;Dąb - Quercus sp.;2012-09-07;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.6103
Point (19.24556464966489955 53.23937741574454918);37465;PL.ZIPOP.1393.PP.0402022.6104;drzewo;;78338;Dąb szypułkowy - Quercus robur;2012-09-07;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.6104
Point (19.28716673057092379 53.30626667818692965);37466;PL.ZIPOP.1393.PP.0402022.61;drzewo;;78339;Dąb szypułkowy - Quercus robur;2010-05-06;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.61
Point (19.25851669744512407 53.32348328809906235);37467;PL.ZIPOP.1393.PP.0402022.62;drzewo;;78340;Dąb szypułkowy - Quercus robur;1998-12-05;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.62
Point (19.29774730039319053 53.31202131966369961);37468;PL.ZIPOP.1393.PP.0402022.63;drzewo;;78341;Dąb - Quercus sp.;1994-02-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.63
Point (19.28984637468712648 53.30720333662571164);37469;PL.ZIPOP.1393.PP.0402022.64;drzewo;;78342;Dąb - Quercus sp.;1994-02-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.64
Point (19.28937418675978677 53.30726158020081584);37470;PL.ZIPOP.1393.PP.0402022.64;drzewo;;78342;Dąb - Quercus sp.;1994-02-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.64
Point (19.28931482135182307 53.30849520476854764);37471;PL.ZIPOP.1393.PP.0402022.64;drzewo;;78342;Dąb - Quercus sp.;1994-02-01;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.64
Point (19.29213338560654378 53.25381669859073952);37472;PL.ZIPOP.1393.PP.0402022.65;drzewo;;78343;Dąb - Quercus sp.;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.65
Point (19.25895742676394207 53.20637869311567414);37473;PL.ZIPOP.1393.PP.0402022.66;drzewo;;78344;Dąb - Quercus sp.;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.66
Point (19.25915005075459874 53.20623332590569987);37474;PL.ZIPOP.1393.PP.0402022.66;drzewo;;78344;Jesion wyniosły - Fraxinus excelsior;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.66
Point (19.25906662402566738 53.20608334354407276);37475;PL.ZIPOP.1393.PP.0402022.66;drzewo;;78344;Robinia akacjowa (Robinia biała, Grochodrzew) - Robinia pseudoacacia;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.66
Point (19.25879998185126851 53.20590003974160709);37476;PL.ZIPOP.1393.PP.0402022.66;drzewo;;78344;Robinia akacjowa (Robinia biała, Grochodrzew) - Robinia pseudoacacia;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.66
Point (19.2572437655702835 53.20670224434994822);37477;PL.ZIPOP.1393.PP.0402022.66;drzewo;;78344;Robinia akacjowa (Robinia biała, Grochodrzew) - Robinia pseudoacacia;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.66
Point (19.25755706931122901 53.20654996520529068);37478;PL.ZIPOP.1393.PP.0402022.66;drzewo;;78344;Robinia akacjowa (Robinia biała, Grochodrzew) - Robinia pseudoacacia;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.66
Point (19.2539443913309718 53.23700445981398843);37479;PL.ZIPOP.1393.PP.0402022.67;drzewo;;78345;Lipa drobnolistna - Tilia cordata;1983-12-31;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.67
Point (19.25670177715792519 53.23980651086897353);37480;PL.ZIPOP.1393.PP.0402022.69;drzewo;;78346;Buk - Fagus sp.;1979-12-19;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.69
Point (19.25587237503692606 53.23976675188366414);37481;PL.ZIPOP.1393.PP.0402022.69;drzewo;;78346;Dąb - Quercus sp.;1979-12-19;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.69
Point (19.25578206100377443 53.24010476723623242);37482;PL.ZIPOP.1393.PP.0402022.69;drzewo;;78346;Dąb - Quercus sp.;1979-12-19;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.69
Point (19.25565641915780901 53.24035006300439932);37483;PL.ZIPOP.1393.PP.0402022.69;drzewo;;78346;Dąb - Quercus sp.;1979-12-19;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.69
Point (19.25555518340877725 53.24049064189098601);37484;PL.ZIPOP.1393.PP.0402022.69;drzewo;;78346;Dąb - Quercus sp.;1979-12-19;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.69
Point (19.25531425372879468 53.24058125584861756);37485;PL.ZIPOP.1393.PP.0402022.69;drzewo;;78346;Dąb - Quercus sp.;1979-12-19;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.69
Point (19.29136165637719458 53.25282112914786836);37486;PL.ZIPOP.1393.PP.0402022.70;drzewo;;78347;Dąb - Quercus sp.;1978-12-22;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.70
Point (19.25280519264225987 53.2460097278051947);37487;PL.ZIPOP.1393.PP.0402022.73;drzewo;;78348;Dąb szypułkowy - Quercus robur;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.73
Point (19.25339639500484878 53.24602996305031866);37488;PL.ZIPOP.1393.PP.0402022.74;drzewo;;78349;Dąb szypułkowy - Quercus robur;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.74
Point (19.2778165958332508 53.28743329741514856);37489;PL.ZIPOP.1393.PP.0402022.75;drzewo;Buk Jana Zumbacha;78350;Buk pospolity (Buk zwyczajny) - Fagus sylvatica;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.75
Point (19.27733620189418673 53.28742128750633356);37490;PL.ZIPOP.1393.PP.0402022.76;drzewo;;78351;Dąb szypułkowy - Quercus robur;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.76
Point (19.27729995709279009 53.28719999557247178);37491;PL.ZIPOP.1393.PP.0402022.77;drzewo;;78352;Dąb szypułkowy - Quercus robur;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.77
Point (19.27779277063541485 53.28662868361877258);37492;PL.ZIPOP.1393.PP.0402022.78;drzewo;;78353;Grab zwyczajny (Grab pospolity) - Carpinus betulus;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.78
Point (19.27829640493600749 53.28599278372957571);37493;PL.ZIPOP.1393.PP.0402022.79;drzewo;;78354;Klon pospolity (Klon zwyczajny) - Acer platanoides;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.79
Point (19.27648074373388809 53.28762855460887238);37494;PL.ZIPOP.1393.PP.0402022.80;drzewo;;78355;Jesion wyniosły - Fraxinus excelsior;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.80
Point (19.27791784992927404 53.28816849445235704);37495;PL.ZIPOP.1393.PP.0402022.81;drzewo;;78356;Jesion wyniosły - Fraxinus excelsior;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.81
Point (19.27781884071825402 53.28805695801759157);37496;PL.ZIPOP.1393.PP.0402022.82;drzewo;;78357;Jesion wyniosły - Fraxinus excelsior;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.82
Point (19.27698337886872793 53.28801664003105998);37497;PL.ZIPOP.1393.PP.0402022.83;drzewo;;78358;Klon pospolity (Klon zwyczajny) - Acer platanoides;2012-10-18;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402022.83
Point (19.29676304441830936 53.24241806725093085);37498;PL.ZIPOP.1393.PP.0402032.103;drzewo;;78359;Lipa drobnolistna - Tilia cordata;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.103
Point (19.29721327712448797 53.24256225303476242);37499;PL.ZIPOP.1393.PP.0402032.103;drzewo;;78359;Lipa drobnolistna - Tilia cordata;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.103
Point (19.29710111427475994 53.24251298782486685);37500;PL.ZIPOP.1393.PP.0402032.103;drzewo;;78359;Lipa drobnolistna - Tilia cordata;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.103
Point (19.29760005391903732 53.24226662702061219);37501;PL.ZIPOP.1393.PP.0402032.103;drzewo;;78359;Lipa drobnolistna - Tilia cordata;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.103
Point (19.29759843429521382 53.24235726835822646);37502;PL.ZIPOP.1393.PP.0402032.103;drzewo;;78359;Lipa drobnolistna - Tilia cordata;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.103
Point (19.297650063162056 53.24236667076763041);37503;PL.ZIPOP.1393.PP.0402032.103;drzewo;;78359;Lipa drobnolistna - Tilia cordata;1960-11-10;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.103
Point (19.42211111111111421 53.28452781560557128);37505;PL.ZIPOP.1393.PP.0402032.125;drzewo;;78361;Klon jawor (Jawor) - Acer pseudoplatanus;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.125
Point (19.42219444444444321 53.28513892671598029);37506;PL.ZIPOP.1393.PP.0402032.125;drzewo;;78361;Kasztanowiec zwyczajny (Kasztanowiec biały) - Aesculus hippocastanum;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.125
Point (19.42048922130836885 53.28453006172467354);37508;PL.ZIPOP.1393.PP.0402032.125;drzewo;;78361;Klon jawor (Jawor) - Acer pseudoplatanus;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.125
Point (19.42154798931480997 53.28451097066524511);37509;PL.ZIPOP.1393.PP.0402032.125;drzewo;;78361;Lipa drobnolistna - Tilia cordata;1988-12-16;;http://crfop.gdos.gov.pl/CRFOP/widok/viewpomnikprzyrody.jsf?fop=PL.ZIPOP.1393.PP.0402032.125
